Wiek,Dochod_Miesieczny_PLN,Kwota_Kredytu_PLN,Okres_Kredytowania_Miesiace,Liczba_Dzieci,Staz_Pracy_Lata,Ocena_BIK,Wklad_Wlasny_Procent,Liczba_Spóźnionych_Rat,Wydatki_Stale_PLN,Karta_Kredytowa,Czy_Splaci_Kredyt
56,3536.54,467373,120,2,30,506,0.26,0,1541.22,1,0
69,6379.17,380321,48,3,25,665,0.38,2,1147.49,0,0
46,8799.19,22289,48,1,4,575,0.06,1,916.41,0,1
32,5105.14,186048,360,3,19,679,0.19,2,2913.0,1,0
60,6681.23,184668,240,1,10,608,0.24,1,2285.93,1,1
25,5972.44,426387,36,0,32,567,0.23,4,2879.41,1,0
38,8744.76,241513,240,0,26,363,0.16,4,3190.47,1,0
56,4644.43,267368,120,1,33,649,0.14,0,2765.62,1,1
36,8307.06,96365,240,3,14,793,0.05,0,3157.76,0,1
40,5249.98,240662,120,2,31,822,0.16,2,2430.47,0,1
28,4611.71,386158,48,2,20,397,0.07,1,1313.01,0,0
28,6219.72,185211,36,0,4,370,0.29,3,3557.81,1,0
41,6684.91,189785,240,2,5,663,0.08,0,1910.89,0,1
53,9823.06,432950,12,0,21,575,0.02,3,1564.4,1,0
57,6639.08,82588,24,2,17,349,0.22,3,2322.08,1,0
41,6386.56,73646,360,1,13,657,0.24,1,1587.19,0,1
20,9192.29,275798,60,0,9,784,0.35,2,2082.57,0,1
39,7202.11,492238,12,0,12,383,0.23,1,2844.05,1,0
19,4711.45,290887,48,1,30,595,0.14,0,2848.34,0,0
41,8711.94,320512,60,0,29,535,0.32,3,1602.17,1,0
61,4520.76,231097,24,2,2,355,0.22,1,2012.29,0,1
47,4701.51,215244,24,2,29,659,0.03,1,3574.33,0,0
55,4302.96,409657,36,0,5,409,0.23,1,2996.4,0,0
19,4127.51,129735,60,2,28,491,0.36,0,4575.07,0,1
38,6666.35,165683,36,3,7,392,0.16,2,3680.13,0,0
50,5484.2,392035,12,0,32,359,0.12,1,3644.29,1,0
29,2000.0,117971,120,1,16,338,0.06,0,1112.13,0,0
39,5463.47,22149,120,3,10,839,0.06,3,3263.86,0,1
61,4964.18,372246,120,0,12,348,0.17,4,2446.89,0,0
42,7785.65,331333,60,1,10,719,0.24,0,1949.02,1,1
66,4873.48,248976,120,2,30,312,0.03,4,2668.02,1,0
44,11078.52,424891,12,1,27,335,0.38,1,3445.21,1,0
59,8793.59,343175,36,3,5,400,0.3,1,3000.83,1,1
45,5220.18,52668,60,2,15,385,0.23,0,1621.53,1,0
33,8299.25,416889,36,0,3,815,0.33,4,3242.46,0,0
32,7050.42,479882,60,2,34,522,0.03,1,1862.41,0,0
64,6466.93,98204,36,0,25,637,0.19,3,2716.68,0,1
68,7605.3,221830,24,0,11,465,0.25,2,2196.65,1,0
